PLC,Area,Count
OP040,13_CCHA,7205
OP070,13_CCHA,6035
OP075A,14_L6A,5544
OP075B,14_L6A,5494
OP060,14_L6A,5108
OP030t040,14_MSA,4947
OP115,14_L6A,4633
OP210,14_L6A,4450
OP030,13_CCHA,4140
OP020,14_L6A,3808
OP020,13_CCHA,3782
OP230tOP320,14_L6A,3245
OP010,13_CCHA,3028
OP040,14_L6A,3026
OP035,14_L6A,2819
OP120,14_L6A,2579
OP010,14_EXC,1929
OP110,14_L6A,1378
OP060,13_CCHA,1274
OP064,13_CCHA,1273
OP062,13_CCHA,1272
OP010,14_L6A,1231
OP100,14_MSA,815
OP200,14_MSA,773
OP040,14_RMS,771
OP400,14_MSA,759
OP050,14_MSA,691
OP050tOP051,13_CCHA,648
OP090,13_EXC,510
OP020,14_EXC,510
OP020,14_SYA,506
OP030,14_RMS,411
OP500,14_MSA,389
OP200,14_L6A,311
OP220,14_L6A,127
